MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:2446262	Foxred1	FAD-dependent oxidoreductase domain containing 1	9		mitochondrial respiratory chain complex I			IBA	PTN000354502 	J:161428 
MGI:101787	mt-Nd1	mitochondrially encoded NADH dehydrogenase 1	MT		mitochondrial respiratory chain complex I			IBA	PTN000153361 	J:161428 
MGI:102497	mt-Nd4l	mitochondrially encoded NADH dehydrogenase 4L	MT		mitochondrial respiratory chain complex I			IBA	PTN000153444 	J:161428 
MGI:1929511	Ndufa1	"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 1"	X		mitochondrial respiratory chain complex I			ISO	O15239 	J:164563 
MGI:1343103	Ndufa2	"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 2"	18		mitochondrial respiratory chain complex I			ISO	O43678 	J:164563 
MGI:1913341	Ndufa3	"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 3"	7		mitochondrial respiratory chain complex I			ISO	O95167 	J:164563 
MGI:107686	Ndufa4	"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 4"	6	NOT	mitochondrial respiratory chain complex I			IMP		J:188776 
MGI:1915452	Ndufa5	"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 5"	6		mitochondrial respiratory chain complex I			ISO	Q16718 	J:164563 
MGI:1914380	Ndufa6	"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 6 (B14)"	15		mitochondrial respiratory chain complex I			ISO	P56556 	J:164563 
MGI:1913666	Ndufa7	"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 7 (B14.5a)"	17		mitochondrial respiratory chain complex I			IBA	PTN000968153 	J:161428 
MGI:1915625	Ndufa8	"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 8"	2		mitochondrial respiratory chain complex I			IBA	PTN000331160 	J:161428 
